0.4900280023800000E+13  0.1738000000000000E+07  http://pds-geosciences.wustl.edu/Lunar/lp-l-rss-5-glgm3_gravity-v1/lp_1201/data/shadr/
   11     4 -0.1183308578924700E-05  0.2358725166157700E-05
   11     5 -0.1973328043588800E-06  0.2347763007913200E-05
   11     6  0.1029824468278900E-05 -0.1992404475958400E-05
   11     7 -0.2156330542450700E-07 -0.3057035597793500E-05
   11     8 -0.3077502898335800E-05 -0.3238687222706200E-06
   11     9 -0.2428352252892900E-05  0.7019191356989400E-06
   11    10 -0.4252035938657400E-05  0.3926629642013500E-06
   11    11 -0.2712679822147300E-05 -0.1800123341681000E-05
   12     0 -0.1820747227842700E-05  0.0000000000000000E+00
   12     1 -0.6061716410487000E-06  0.1793798143179100E-05
   12     2 -0.1683756582204100E-06  0.1120287738371500E-05
   12     3  0.9160472149655100E-06 -0.4408307394923400E-05
   12     4  0.5408631451810600E-06 -0.1497767817897200E-06
   12     5 -0.1489805234200100E-06  0.8473515230430500E-06
   12     6  0.1501227013486200E-05  0.7099519032101700E-06
   12     7  0.1633082216191100E-05 -0.1561035483009200E-06
   12     8 -0.4553863111626100E-07 -0.2014940292514700E-05
   12     9 -0.2848461432083800E-06  0.1138403190725400E-05
   12    10 -0.2516128027525900E-05 -0.1509939068717000E-05
   12    11 -0.1323467025675100E-05 -0.1086453896385000E-05
   12    12 -0.2503101788185000E-08  0.1229639447643000E-05
   13     0  0.1679683427382200E-06  0.0000000000000000E+00
   13     1  0.8503066102189300E-06 -0.3496658974580500E-06
   13     2 -0.3273163850494000E-05  0.6377032496554401E-07
   13     3 -0.3063081266798600E-06 -0.8791206486037600E-06
   13     4  0.3979316355769600E-06  0.2331266946819300E-07
   13     5 -0.8912422376523200E-06  0.7840837948809700E-06
   13     6  0.4455911454732000E-06  0.1422633515119700E-05
   13     7 -0.7314243599175900E-06 -0.9287707832847600E-06
   13     8  0.1270258979460000E-06 -0.2284729298566200E-05
   13     9  0.6765549181196100E-06  0.5658013411960200E-06
   13    10 -0.1664023517965300E-05  0.1958906843562900E-06
   13    11 -0.2301451678835400E-05  0.3477566691055600E-06
   13    12 -0.3729462093832000E-06 -0.5788072854236000E-06
   13    13  0.2891581667797900E-05 -0.2602290811622000E-05
   14     0  0.1293500031177500E-06  0.0000000000000000E+00
   14     1  0.8700161381192500E-06 -0.7174619275250900E-06
   14     2  0.7909548971859900E-06  0.6406174454793000E-06
   14     3  0.3020649536972900E-06  0.4865465031840500E-06
   14     4 -0.4949241547002900E-06 -0.3050147497761700E-05
   14     5 -0.1963562474340400E-06 -0.9290675928163600E-06
   14     6 -0.8431506674975100E-06  0.1912522591412000E-05
   14     7 -0.1263861228219700E-05  0.9629216690307499E-06
   14     8  0.9175861298277300E-06  0.9603665318457200E-06
   14     9 -0.2155052904083500E-06 -0.3307422239761700E-06
   14    10 -0.1916906505504200E-05  0.1623922138864100E-06
   14    11 -0.1114342485437300E-05  0.2572551187604200E-05
   14    12 -0.1446779313296100E-06 -0.1277024942948100E-06
   14    13 -0.3793142432053400E-06 -0.2090855602307100E-05
   14    14 -0.1053347903090000E-05  0.1007880080525700E-05
   15     0  0.1810525511690600E-07  0.0000000000000000E+00
   15     1 -0.6620337384926900E-06  0.2562617134106900E-06
   15     2 -0.2640557148324900E-06  0.5614001225099400E-06
   15     3 -0.1608775687929600E-05 -0.5939408759165100E-06
   15     4 -0.8712840190252100E-06 -0.1454616035207400E-05
   15     5  0.1673587931166500E-06 -0.7221579356863900E-06
   15     6 -0.6427006479146400E-06  0.3581956049803600E-06
   15     7  0.1148360584067100E-05  0.1720285063353900E-05
   15     8  0.2202703115274100E-05  0.2333352252874300E-05
   15     9 -0.5794193713849500E-06 -0.1835498136978200E-05
   15    10  0.1325341175382200E-06 -0.9097543028813100E-06
   15    11 -0.1805881180115000E-06 -0.6759464881540000E-06
   15    12 -0.2376406405205600E-05 -0.1618014795647100E-05
   15    13 -0.1869076894222200E-05 -0.2633367168836700E-06
   15    14  0.7740586402819600E-06  0.1643260449113500E-05
   15    15  0.9989807171594299E-06  0.7864515865377200E-06
   16     0  0.2571145960002000E-06  0.0000000000000000E+00
   16     1 -0.1618464035653100E-07  0.6066124214548500E-06
   16     2  0.1662013410327500E-05  0.4775561255668801E-06
   16     3 -0.3184081588254600E-06  0.1016341737902700E-05
   16     4  0.8542384030097800E-06 -0.6880898714803000E-07
   16     5  0.1040177633228600E-05 -0.7479789045049100E-06
   16     6  0.4048906747055600E-06 -0.7019110712538800E-06
   16     7  0.1106287847886700E-06 -0.1237095226281400E-05
   16     8  0.2969138693646500E-06 -0.9683175353621001E-07
   16     9 -0.1668054935138600E-05 -0.1446379771490400E-05
   16    10  0.4971018337181000E-06  0.1026546286764000E-05
   16    11 -0.4757653279868000E-06  0.1808780683178700E-05
   16    12 -0.2485852520711200E-05 -0.1083200848197900E-06
   16    13  0.2662051349893200E-06  0.1481116141864800E-05
   16    14  0.8262131523301100E-06  0.6593310930489800E-06
   16    15 -0.2592111472442200E-06 -0.1933559690678100E-05
   16    16 -0.1330773166690000E-05 -0.8500345507546700E-06
   17     0 -0.9593979885427200E-06  0.0000000000000000E+00
   17     1  0.1159181194833100E-05  0.3569446142237100E-06
   17     2 -0.4361059098696900E-06 -0.5069375341546500E-06
   17     3 -0.2704042712693000E-06 -0.1158824741270800E-05
   17     4  0.1723249931723600E-05  0.1346031076746500E-05
   17     5 -0.3894231773997200E-07 -0.2005259995095300E-06
   17     6  0.9725693653198399E-07 -0.1051098473824200E-05
   17     7 -0.8121432555238600E-06 -0.1527688711799600E-05
   17     8 -0.3614111497407300E-06  0.2585371716192900E-06
   17     9 -0.1700764878940800E-06  0.1776404576807000E-05
   17    10  0.1221821990823400E-05  0.1243497897391700E-05
   17    11  0.1095455988348300E-05 -0.1098642143337300E-05
   17    12  0.1122748703365100E-05 -0.2829982929777100E-06
   17    13  0.1016950889085000E-05  0.6841772535219300E-06
   17    14  0.5062799283720700E-07 -0.1595921093172100E-05
   17    15 -0.1523566685231100E-05 -0.6791580376044699E-06
   17    16 -0.4418173896775100E-06  0.3361290438909400E-06
