0.4902800238000000E+13  0.1738000000000000E+07  http://pds-geosciences.wustl.edu/Lunar/lp-l-rss-5-glgm3_gravity-v1/lp_1201/data/shadr/
    9     7 -0.3467329896250760E-05  0.3528505427876900E-06
    9     8 -0.9573725027253699E-06 -0.1951029229089320E-05
    9     9 -0.1034130757013860E-05  0.2338291898732580E-05
   10     0 -0.8493712398568200E-06  0.0000000000000000E+00
   10     1  0.6154021114585900E-06 -0.8892981031000900E-06
   10     2  0.7787219691930800E-07 -0.4693917656700700E-06
   10     3  0.6549981302611400E-06  0.4115565803246500E-06
   10     4 -0.3432478172157830E-05  0.1930534474114970E-05
   10     5  0.3106184529077700E-06  0.1835668879926100E-06
   10     6  0.4641790300542900E-07 -0.1982407381153820E-05
   10     7 -0.3229722989335050E-05 -0.1007843505513100E-05
   10     8 -0.3832607218719930E-05  0.2343158530023760E-05
   10     9 -0.5181875479187380E-05 -0.4404189675260500E-06
   10    10  0.9131305265475500E-06 -0.1604795510009740E-05
   11     0 -0.1073744524030310E-05  0.0000000000000000E+00
   11     1 -0.1553071635624400E-06  0.7006786626576600E-06
   11     2  0.8862262696444400E-06 -0.1906685884697670E-05
   11     3  0.6700724744100900E-06  0.7571645427344700E-06
   11     4 -0.1187153910497730E-05  0.2357093856737370E-05
   11     5 -0.1989277505626100E-06  0.2348602709718380E-05
   11     6  0.1023996421050260E-05 -0.1991117856303720E-05
   11     7 -0.2568656688044700E-07 -0.3061166604185280E-05
   11     8 -0.3077593927071100E-05 -0.3243916727561890E-06
   11     9 -0.2430750107063070E-05  0.7014920633068830E-06
   11    10 -0.4252833042917250E-05  0.3958791348093200E-06
   11    11 -0.2711930926902720E-05 -0.1801775840495530E-05
   12     0 -0.1822359168109440E-05  0.0000000000000000E+00
   12     1 -0.6067060023435610E-06  0.1799608585339810E-05
   12     2 -0.1616580043835600E-06  0.1111537757611920E-05
   12     3  0.9244081368733500E-06 -0.4407068472010330E-05
   12     4  0.5428734364137300E-06 -0.1520103063771200E-06
   12     5 -0.1473511801959900E-06  0.8425841843430100E-06
   12     6  0.1499516882866680E-05  0.7103171672090819E-06
   12     7  0.1632394039406610E-05 -0.1552638997662660E-06
   12     8 -0.4566609148340400E-07 -0.2018343682403490E-05
   12     9 -0.2877181420936000E-06  0.1137964934649120E-05
   12    10 -0.2517870356699370E-05 -0.1516539545934980E-05
   12    11 -0.1326007442526450E-05 -0.1083788662911900E-05
   12    12 -0.2438037642570600E-08  0.1229024608520110E-05
   13     0  0.1661397138329400E-06  0.0000000000000000E+00
   13     1  0.8471693188105900E-06 -0.3449581224884000E-06
   13     2 -0.3269274914760860E-05  0.5785435430561400E-07
   13     3 -0.3050045498131400E-06 -0.8821872320026500E-06
   13     4  0.4028293298612200E-06  0.2626989823427300E-07
   13     5 -0.8871963507289000E-06  0.7822976419902700E-06
   13     6  0.4481183155900100E-06  0.1425214341346000E-05
   13     7 -0.7326166414470400E-06 -0.9301474458937200E-06
   13     8  0.1292835386832000E-06 -0.2287419610619010E-05
   13     9  0.6795399812820200E-06  0.5655148814876140E-06
   13    10 -0.1664859097842910E-05  0.1946208818148300E-06
   13    11 -0.2300294148198260E-05  0.3458248272950100E-06
   13    12 -0.3751918753230300E-06 -0.5784089503411900E-06
   13    13  0.2889693873745850E-05 -0.2603235487121630E-05
   14     0  0.1258966969786400E-06  0.0000000000000000E+00
   14     1  0.8672347923145301E-06 -0.7167649225073390E-06
   14     2  0.7912587552549020E-06  0.6377208680909600E-06
   14     3  0.3046893053668000E-06  0.4824457605469400E-06
