398600.44150E+09  6378136.30  http://www2.csr.utexas.edu/grace/gravity/ggm02/
 13  13 -6.1214038268934E-08  6.8148167810743E-08
 14   0 -2.2675630223576E-08  0.0000000000000E+00
 14   1 -1.8770998216769E-08  2.8860837145152E-08
 14   2 -3.5920323600066E-08 -4.0536295440481E-09
 14   3  3.6509983811460E-08  1.9694621607254E-08
 14   4  1.6033731675577E-09 -2.2665135954506E-08
 14   5  2.9310264710943E-08 -1.6789025332404E-08
 14   6 -1.9067603888711E-08  2.4602508173726E-09
 14   7  3.7632078367602E-08 -3.9336227232542E-09
 14   8 -3.4942263641747E-08 -1.5444582116774E-08
 14   9  3.1951781352440E-08  2.8463154727180E-08
 14  10  3.8801607036805E-08 -1.2943065163844E-09
 14  11  1.5647247359429E-08 -3.9046432796261E-08
 14  12  8.4658375996511E-09 -3.1123757460387E-08
 14  13  3.2236680407062E-08  4.5153039813900E-08
 14  14 -5.1870479552529E-08 -4.8134421832886E-09
 15   0  2.1938322693388E-09  0.0000000000000E+00
 15   1  9.4299488689337E-09  1.0483210092551E-08
 15   2 -2.0527948743249E-08 -3.0300593022327E-08
 15   3  5.3420636231678E-08  1.7661128069924E-08
 15   4 -4.0173870119032E-08  6.8160151271459E-09
 15   5  1.2242814926735E-08  7.6225051046549E-09
 15   6  3.2848513121228E-08 -3.6471101162955E-08
 15   7  5.9649868290409E-08  5.0749758631240E-09
 15   8 -3.2088464578017E-08  2.2170266603736E-08
 15   9  1.3298049087723E-08  3.7992554502824E-08
 15  10  1.0259719939173E-08  1.4687248093971E-08
 15  11 -1.3084984222646E-09  1.8519503163393E-08
 15  12 -3.2412474290420E-08  1.5606205110606E-08
 15  13 -2.8363185775310E-08 -4.5801398908502E-09
 15  14  5.2125243568872E-09 -2.4421066493216E-08
 15  15 -1.9031294135798E-08 -4.6915224964251E-09
 16   0 -4.7128981423357E-09  0.0000000000000E+00
 16   1  2.6184063113599E-08  3.3337721587560E-08
 16   2 -2.4508779052270E-08  2.8035811194914E-08
 16   3 -3.3918141005457E-08 -2.1338230645286E-08
 16   4  4.0853705708378E-08  4.7984768937878E-08
 16   5 -1.2122284866718E-08 -3.4446650321869E-09
 16   6  1.3870114709397E-08 -3.5599236069952E-08
 16   7 -8.0641123489685E-09 -8.6506728325684E-09
 16   8 -2.1203622154093E-08  5.4035329320848E-09
 16   9 -2.2417838926035E-08 -3.9668559584380E-08
 16  10 -1.1802346733859E-08  1.1535251017064E-08
 16  11  1.9112853233008E-08 -3.2048347618619E-09
 16  12  1.9567009572740E-08  6.7188883981953E-09
 16  13  1.3773628534725E-08  1.0523067449728E-09
 16  14 -1.9343214101190E-08 -3.8651351413281E-08
 16  15 -1.4402783187545E-08 -3.2743335622719E-08
 16  16 -3.8301066345348E-08  2.9594978134257E-09
 17   0  1.9187200731431E-08  0.0000000000000E+00
 17   1 -2.5364589012403E-08 -3.1704849173524E-08
 17   2 -2.0099897625433E-08  6.8116873808976E-09
 17   3  6.3116150435516E-09  5.0835700083581E-09
 17   4  6.4772122323797E-09  2.5334700792911E-08
 17   5 -1.6221519487809E-08  8.0310494876144E-09
 17   6 -1.1731349329719E-08 -2.9442489500341E-08
 17   7  2.4978891016418E-08 -4.3859327779083E-09
 17   8  3.8999526680873E-08  3.6336738983013E-09
 17   9  3.4824276612406E-09 -2.7640763115430E-08
 17  10 -3.8017578277006E-09  1.8375371325102E-08
 17  11 -1.6018679821795E-08  1.1087877505828E-08
 17  12  2.8714578203548E-08  2.0462007028458E-08
 17  13  1.6510479406932E-08  2.0136749197244E-08
 17  14 -1.4271837468883E-08  1.1566922287859E-08
 17  15  5.5362224128029E-09  5.2412873983925E-09
 17  16 -3.0509926770123E-08  3.6871836352069E-09
